epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.7464,0.86179,4.39659,1.29081,0,0,0,0,0.47177,4.60786,1.00969,0.00010323,0.00010323,0.00010323
2,34.5664,0.70357,3.96198,1.18882,0.05746,0.71354,0.16464,0.14604,0.45704,4.24796,0.97883,0.000206014,0.000206014,0.000206014
3,50.0154,0.73053,3.5461,1.20418,0.44024,0.29974,0.25987,0.22194,0.54022,3.77559,1.02442,0.000304961,0.000304961,0.000304961
4,65.4934,0.68693,3.17297,1.16261,0.45006,0.42624,0.36957,0.33013,0.50518,3.44381,1.02377,0.000315018,0.000315018,0.000315018
5,80.3629,0.69566,2.95344,1.18873,0.546,0.49593,0.52792,0.48076,0.49686,3.25814,1.00903,0.000309024,0.000309024,0.000309024
6,95.5174,0.6647,2.69786,1.15488,0.55412,0.55417,0.55673,0.47888,0.54638,3.05367,1.0559,0.00030303,0.00030303,0.00030303
7,110.44,0.65849,2.55394,1.14246,0.50504,0.62048,0.64288,0.57431,0.4928,2.7218,1.0243,0.000297036,0.000297036,0.000297036
8,125.434,0.63381,2.43837,1.15265,0.64991,0.53919,0.65199,0.56538,0.50251,2.68948,1.02435,0.000291042,0.000291042,0.000291042
9,140.424,0.65959,2.24098,1.13181,0.55964,0.67946,0.70746,0.63343,0.50688,2.49523,1.03992,0.000285048,0.000285048,0.000285048
10,155.306,0.65079,2.1322,1.13299,0.67182,0.63382,0.77426,0.68046,0.47964,2.3082,0.98276,0.000279054,0.000279054,0.000279054
11,170.417,0.63143,2.09949,1.10983,0.7495,0.6398,0.75459,0.68104,0.46939,2.23245,1.00623,0.00027306,0.00027306,0.00027306
12,185.552,0.59203,1.92608,1.10472,0.65431,0.76116,0.79778,0.71417,0.49204,2.08451,1.02041,0.000267066,0.000267066,0.000267066
13,200.545,0.58928,1.86571,1.0845,0.70268,0.71285,0.81736,0.74616,0.49146,2.11208,1.00478,0.000261072,0.000261072,0.000261072
14,215.472,0.57932,1.79993,1.095,0.76271,0.71206,0.83679,0.76441,0.45578,1.9424,0.96912,0.000255078,0.000255078,0.000255078
15,230.273,0.58366,1.72995,1.08079,0.79356,0.76434,0.85951,0.79493,0.43387,1.85995,0.95315,0.000249084,0.000249084,0.000249084
16,245.402,0.54807,1.63121,1.06257,0.7029,0.7312,0.86151,0.79532,0.43604,1.78825,0.95943,0.00024309,0.00024309,0.00024309
17,260.487,0.56922,1.60218,1.07147,0.76468,0.80931,0.88025,0.80478,0.45692,1.70395,0.98252,0.000237096,0.000237096,0.000237096
18,275.49,0.57431,1.62331,1.07478,0.81651,0.80131,0.89537,0.81717,0.44321,1.73873,0.96931,0.000231102,0.000231102,0.000231102
19,290.495,0.53649,1.53007,1.04198,0.83186,0.77508,0.88071,0.80433,0.44666,1.68607,0.97022,0.000225108,0.000225108,0.000225108
20,305.381,0.5394,1.48544,1.03552,0.85392,0.78415,0.88319,0.81815,0.44941,1.65208,0.95633,0.000219114,0.000219114,0.000219114
21,320.262,0.53798,1.42218,1.04618,0.8046,0.84325,0.89548,0.83214,0.43442,1.6178,0.95015,0.00021312,0.00021312,0.00021312
22,335.104,0.52875,1.4036,1.04667,0.829,0.81611,0.90148,0.83572,0.42958,1.64776,0.9482,0.000207126,0.000207126,0.000207126
23,349.991,0.51562,1.34075,1.03038,0.82421,0.81307,0.89782,0.84214,0.40642,1.47001,0.9215,0.000201132,0.000201132,0.000201132
24,365.034,0.50168,1.30354,1.0231,0.87365,0.82458,0.92259,0.8667,0.40162,1.43478,0.91431,0.000195138,0.000195138,0.000195138
25,379.981,0.50503,1.29274,1.02389,0.85179,0.83782,0.91589,0.85894,0.39505,1.41076,0.90815,0.000189144,0.000189144,0.000189144
26,394.937,0.49397,1.21028,1.00874,0.86086,0.8419,0.92505,0.8665,0.39376,1.37082,0.90188,0.00018315,0.00018315,0.00018315
27,409.934,0.49727,1.22979,1.01791,0.86892,0.81746,0.91899,0.86479,0.41174,1.41317,0.91888,0.000177156,0.000177156,0.000177156
28,424.856,0.46493,1.17389,0.98378,0.85627,0.89572,0.93549,0.87503,0.40719,1.31805,0.91622,0.000171162,0.000171162,0.000171162
29,439.602,0.48053,1.16393,0.9994,0.92466,0.8102,0.93296,0.86574,0.41591,1.3869,0.92382,0.000165168,0.000165168,0.000165168
30,454.487,0.49353,1.19863,1.02493,0.88036,0.84168,0.92445,0.85245,0.41399,1.3935,0.93472,0.000159174,0.000159174,0.000159174
31,469.091,0.4939,1.14311,1.01757,0.88574,0.86532,0.93581,0.87741,0.3775,1.26292,0.8925,0.00015318,0.00015318,0.00015318
32,483.976,0.46835,1.11979,1.00775,0.87512,0.86356,0.92812,0.86952,0.39759,1.24268,0.90925,0.000147186,0.000147186,0.000147186
33,498.977,0.46739,1.10835,0.99997,0.87049,0.87053,0.92785,0.8565,0.39693,1.24952,0.90595,0.000141192,0.000141192,0.000141192
34,513.909,0.49459,1.10658,1.0042,0.88255,0.85785,0.92704,0.86782,0.39488,1.26673,0.90746,0.000135198,0.000135198,0.000135198
35,528.64,0.44164,1.0166,0.97999,0.90398,0.86014,0.94022,0.87901,0.411,1.21602,0.92398,0.000129204,0.000129204,0.000129204
36,543.587,0.44205,1.02563,0.98365,0.89551,0.87349,0.94017,0.87737,0.42042,1.19777,0.93019,0.00012321,0.00012321,0.00012321
37,558.509,0.45758,1.05053,0.99399,0.89803,0.85878,0.9447,0.89156,0.39639,1.18373,0.91142,0.000117216,0.000117216,0.000117216
38,573.771,0.47254,1.05124,1.01622,0.91098,0.85664,0.93818,0.88213,0.38916,1.18593,0.90806,0.000111222,0.000111222,0.000111222
39,588.434,0.44008,0.99921,0.97828,0.90882,0.87124,0.93266,0.88094,0.38625,1.11082,0.91399,0.000105228,0.000105228,0.000105228
40,603.352,0.43731,1.00298,0.98564,0.92841,0.86688,0.93883,0.88366,0.39281,1.12387,0.90824,9.9234e-05,9.9234e-05,9.9234e-05
41,618.046,0.44078,0.96184,0.98527,0.89991,0.89381,0.94133,0.89201,0.37343,1.13529,0.89043,9.324e-05,9.324e-05,9.324e-05
42,633.001,0.44675,0.99018,0.98018,0.89561,0.88881,0.93841,0.8891,0.3709,1.07958,0.88802,8.7246e-05,8.7246e-05,8.7246e-05
43,647.858,0.42625,0.97541,0.97389,0.91892,0.85314,0.93989,0.89383,0.37,1.09815,0.89013,8.1252e-05,8.1252e-05,8.1252e-05
44,662.875,0.4235,0.96757,0.98455,0.93133,0.86034,0.94068,0.89468,0.36386,1.06945,0.8921,7.5258e-05,7.5258e-05,7.5258e-05
45,678.423,0.41656,0.93423,0.97151,0.9059,0.87859,0.94075,0.88917,0.37209,1.08155,0.89246,6.9264e-05,6.9264e-05,6.9264e-05
46,735.916,0.27829,0.95017,0.87005,0.90332,0.84507,0.9416,0.8892,0.38521,1.18255,0.90354,6.327e-05,6.327e-05,6.327e-05
47,751.221,0.26032,0.92208,0.84417,0.92193,0.84578,0.93621,0.88711,0.36713,1.10339,0.88598,5.7276e-05,5.7276e-05,5.7276e-05
48,766.844,0.25319,0.8939,0.84669,0.92288,0.85346,0.93729,0.89505,0.36769,1.12985,0.88716,5.1282e-05,5.1282e-05,5.1282e-05
49,782.325,0.24914,0.85017,0.83426,0.92816,0.87544,0.94272,0.90063,0.35789,1.05426,0.87719,4.5288e-05,4.5288e-05,4.5288e-05
50,798.243,0.2457,0.8338,0.8368,0.94736,0.85866,0.94197,0.90239,0.36005,1.07842,0.8804,3.9294e-05,3.9294e-05,3.9294e-05
51,813.831,0.24799,0.83331,0.84323,0.93738,0.86186,0.94117,0.89966,0.35509,1.04882,0.87659,3.33e-05,3.33e-05,3.33e-05
52,829.31,0.23881,0.8142,0.81589,0.92194,0.86566,0.94443,0.90046,0.35076,1.03037,0.87352,2.7306e-05,2.7306e-05,2.7306e-05
53,844.716,0.24033,0.81048,0.8366,0.93385,0.84876,0.94719,0.90228,0.35248,1.02264,0.87486,2.1312e-05,2.1312e-05,2.1312e-05
54,860.461,0.22897,0.80046,0.82552,0.9349,0.85736,0.95117,0.90595,0.35089,1.0082,0.87609,1.5318e-05,1.5318e-05,1.5318e-05
55,875.866,0.22958,0.80012,0.82773,0.9276,0.86879,0.9492,0.90654,0.34785,0.99996,0.87258,9.324e-06,9.324e-06,9.324e-06
